id,カテゴリ,見出し,本文,ポイント,キーワード,シーン
,食事,食事の前のあいさつ,食事の前後に感謝の言葉を伝える文化があります。食べ物や作ってくれた人への気持ちを表すものです。,"・食前は「いただきます」と言いましょう 。
・食後は「ごちそうさまでした」と言いましょう。 ",挨拶、文化,食事
,食事,音を立てすぎない,日本では静かに食事をする人が多く、周囲への配慮が大切にされています。,"・麺以外は音を立てないようにしましょう。
・できる限り静かに食べると安心です 。
・周囲の雰囲気に合わせましょう。",食事、音、マナー,食事
,食事,箸を食べ物に刺さない,ご飯に箸を立てる行為は、お葬式などを連想させるため避けられています。,"・箸はご飯に立てないようにしましょう。 
・使わないときは皿や箸置きに置きましょう。",箸、マナー,食事
,食事,箸で渡さない,箸から箸へ食べ物を渡す行為は、お葬式などの場面を連想させるため避けられています。,"・箸から箸へ渡さないようにしましょう。 
・取り分けるときは一度他のお皿に移すと安心です。",箸、マナー,食事
,食事,店内では大声で話さない,日本の飲食店では落ち着いた雰囲気が好まれますが、居酒屋などではにぎやかに過ごすこともあります。,"・店の雰囲気に合わせて声の大きさを調整しましょう。 
・周囲の人の様子を見ると判断しやすいです。",会話、レストラン,食事
,観光,鳥居の前で一礼,鳥居は神聖な場所への入口とされており、敬意を表す行動が大切にされています。,・鳥居の前後で軽くお辞儀をしましょう。,神社、礼儀、文化,神社
,観光,静かに行動する,神社やお寺は静かな空間が大切にされており、落ち着いた行動が求められます。,"・大声を出さず静かに過ごしましょう。 
・写真を撮るときも周囲に配慮しましょう。",寺、マナー,神社、お寺
,観光,参道の中央はなるべく避ける,参道の中央は神様の通り道と考えられており、端を歩く人が多いです。,"・参道の中央はなるべく避けて歩きましょう。 
・混雑時は無理に避けなくても大丈夫です。 ・周囲の人の動きに合わせると安心です。",神社、文化,神社、お寺
,観光,入る前に体を洗う,温泉は多くの人が共有して使うため、清潔に保つことがとても大切です。,"・入る前に体をしっかり洗いましょう。 
・シャンプーや石けんは湯船に入る前に済ませましょう。 
・洗い場は次の人のために軽く流しておきましょう。",温泉、清潔、入浴,温泉
,観光,タオルを湯船に入れない,湯船の水を清潔に保つため、タオルを入れない習慣があります。,"・タオルは湯船に入れないようにしましょう。 
・タオル置き場がある場合はそこを使いましょう。 
・ない場合は濡れないようにし、人の邪魔にならない場所に置きましょう。",温泉、タオル、マナー,温泉
,観光,裾を踏まないように歩く,着物は裾が長く動きにくいため、歩き方に少し注意が必要です。,"・裾を少し持って汚さないように歩きましょう。 
・階段や段差では特に注意しましょう。",着物、歩き方,浴衣
,移動,片側に寄る,エスカレーターでは急ぐ人のために通路を空ける習慣があります。,"・片側に寄って立ちましょう。 
・地域によって違うので周囲に合わせましょう。",エスカレーター、マナー,移動中
,移動,降りる人を優先,電車やエレベーターではスムーズに移動するため、降りる人を優先するのが一般的です。,"・降りる人を先に通しましょう。 
・ドア付近では少しよけるとスムーズです。",エレベーター、マナー,移動中
,移動,リュックは前に持つ,混雑時は周囲との距離が近くなるため、荷物の持ち方に配慮が必要です。,"・混雑時はリュックを前に持ちましょう。 
・周囲のスペースに気をつけましょう。",電車、混雑、荷物,公共交通
,移動,公共の乗り物では静かにする,電車やバスでは静かな環境が保たれており、周囲への配慮が重視されています。,"・音や声は控えめにしましょう。 
・イヤホンの音漏れにも注意しましょう。",電車、静か、マナー,公共交通
,生活,会計前の商品は使わない,商品は購入するまで店のものであり、勝手に開封することはできません。,・商品は会計前に開けないようにしましょう。 ,買い物、ルール、商品,店内
,生活,列に並ぶ,日本では順番を守ることが大切にされており、列に並ぶ文化があります。,"・列に並んで順番を待ちましょう。 
・最後尾の位置を確認すると安心です。",列、順番、マナー,店内
,生活,公共の場では静かに話す,公共の場では周囲に配慮した行動が求められ、静かに過ごす人が多いです。,"・声を抑えて話しましょう。 
・周囲の人の様子を参考にすると安心です。",会話、静か、公共,公共の場
,生活,電車では通話を控える,電車内では静かな環境を保つため、通話は控えることが一般的です。,"・通話は控えましょう。 
・必要な場合は車外やデッキで話しましょう。",電車、電話、マナー,電車
,生活,ゴミは持ち帰る,日本ではゴミ箱が少ないため、自分で持ち帰ることが一般的です。,"・ゴミは持ち帰るようにしましょう。 
・小さな袋を用意しておくと便利です。",ゴミ、持ち帰り、外出,ゴミ捨て
,生活,分別する,ゴミは種類ごとに分けて処理されるため、分別が重要とされています。,"・ゴミは分別して捨てましょう。 
・表示や案内を確認すると分かりやすいです。",ゴミ、分別、ルール,ゴミ捨て
,生活,人前でのスキンシップは控えめにする,公共の場では控えめな行動が好まれ、スキンシップも控えめな傾向があります。,・スキンシップは控えめにしましょう。 ,愛情、公共、文化差,公共の場
,ルール,タバコは指定場所で吸う,喫煙場所は決められていることが多く、ルールを守ることが求められます。,"・タバコは決められた場所で吸いましょう。 
・事前に喫煙所を確認しておくと安心です。",喫煙、ルール、場所,タバコ
,ルール,無断撮影に注意,日本ではプライバシーが重視されており、無断撮影はトラブルになることがあります。,"・人物を撮影する前は一声かけましょう。 
・店内では周囲のお客さんが写らないように配慮しましょう。 ・料理等の写真は基本的に問題ないことが多いですが、迷ったら店の案内を確認しましょう。",撮影、注意、ルール,写真
,ルール,私有地に入らない,土地には所有者がいるため、無断で立ち入ることはできません。,"・許可なく立ち入らないようにしましょう。 
・標識や表示を確認しましょう。",立入禁止、ルール、土地,私有地
,ルール,飲酒は年齢制限がある,日本では法律で飲酒できる年齢が定められています。,"・20歳以上で飲みましょう。 
・年齢確認を求められることがあります。",飲酒、ルール、年齢、法律,お酒
,ルール,信号を守る,交通の安全を守るため、信号を守ることが重要です。,"・信号を守りましょう。 
・徒歩の場合、横断歩道を使うと安全です。",信号、交通、安全,信号
,ルール,落書きをしない,公共物はみんなで使うものであり、きれいに保つ意識が大切です。,"・落書きはしないようにしましょう。 
・公共のものは大切に使いましょう。",落書き、ルール、公共,公共の場