id,タイトル,本文,ポイント,キーワード,シーン
,チップの習慣,日本では基本的にチップの習慣はなく、支払う必要はありません。サービス料は料金に含まれていることが多いです。,"・チップを渡されると、店員さんが困ってしまいます。
・会計は表示された金額だけ支払えば大丈夫です。",チップ、支払い、文化,会計
,簡単な日本語,簡単な日本語を使うと喜ばれることが多く、コミュニケーションがスムーズになります。,"・「ありがとうございます」や「すみません」を使ってみましょう。 
・うまく話せなくても気持ちは伝わります。",日本語、会話、コミュニケーション,会話
,コンビニ,日本のコンビニは24時間営業が多く、食事や日用品など幅広くそろっています。,"・食べ物や飲み物を手軽に購入できます。 
・ATMやチケットサービスも利用できます。",コンビニ、買い物、便利,買い物
,自動販売機,日本には多くの自動販売機があり、飲み物などを簡単に購入できます。,"・街中でよく見かけます。 
・現金だけでなく、電子マネーが使えるものもあります。",自販機、飲み物、購入,外出
,英語対応,観光地や駅では英語対応が進んでおり、簡単な英語なら通じることが多いです。,"・困ったときは簡単な英語で話してみましょう。 
・翻訳アプリも便利です。",英語、対応、観光,観光
,電車の時間,日本の電車は時間に正確で、数分単位で運行されています。,"・時間通りに行動すると安心です。 
・電車が時間に遅れることはほぼほぼです。",電車、時間、交通,移動
,現金の利用,日本では現金を使う場面もまだ多く、カードが使えない店もあります。,"・ある程度のの現金を持っておくと安心です。 
・昔ながらの店では現金のみの場合があります。",現金、支払い、店舗,買い物
,無料の水やお茶,多くの店では水やお茶が無料で提供されることがあります。,"・注文しなくても出されることがあります。 
・セルフサービスの場合もあります。",水、無料、飲食店,食事
,季節の楽しみ,日本では季節ごとに食べ物や行事が変わり、季節感を大切にする文化があります。,"・季節限定の商品を探してみましょう。 
・旬の食べ物を楽しむのもおすすめです。",季節、文化、食べ物,外出
,四季の風景,日本では四季がはっきりしており、季節ごとに景色や楽しみ方が変わります。,"・春は桜、秋は紅葉が有名です。 
・季節に合わせて旅行計画を立ててみるといいかもしれません。",四季、自然、観光,観光
,地域の名物,日本では地域ごとに名物料理や特産品があり、食文化が豊かです。,"・その土地ならではの料理を楽しみましょう。 
・お土産選びの参考にもなります。",名物、料理、地域,食事
,メニューの工夫,日本では飲食店のメニューに写真やサンプルがあり、注文しやすい工夫がされています。,"・写真を見て選ぶことができます。 
・指差しでも注文できます。",メニュー、写真、注文,注文
,トイレの設備,日本のトイレは清潔で設備が整っていることが多いです。,"・公共施設でもきれいなことが多いです。 
・使い方の案内を確認しましょう。",トイレ、設備、清潔,外出
,温泉の入り方,温泉や銭湯では裸で入るのが一般的です。,"・水着は着用しません。 
・最初は戸惑っても問題ありません。",温泉、入浴、文化,体験
,靴を脱ぐ文化,日本では靴を脱ぐ場所が多く、室内では靴を履きません。,"・玄関で靴を脱ぎましょう。 
・スリッパが用意されていることもあります。",靴、室内、習慣,室内
,おしぼり,多くの飲食店ではおしぼりが提供されます。,・基本は手を拭くために使いましょう。 ,おしぼり、飲食店、マナー,食事
,サービスの丁寧さ,日本のサービスは丁寧で、店員の対応がとても親切です。,"・特別なお礼は必要ありません。 
・笑顔で「ありがとうございます」と返すとよいです。",サービス、接客、日本,会計
,商品の品質,日本では商品の品質が高く、安心して購入できることが多いです。,"・食品も安心して選べます。 
・表示を確認するとより安心です。
・アレルギーがある場合は、遠慮せずに店員さんに聞いてみましょう。",品質、買い物、安心,買い物
,ICカード,日本では交通系ICカードを使うと電車やバスの支払いが簡単になります。,"・ICカードを作ると移動がスムーズです。 
・コンビニなどでも使えることがあります。",ICカード、交通、支払い,移動
,困ったときの対処,分からないことがあったときは、周りの人に聞いても大丈夫です。親切に教えてくれることが多いです。,"・困ったときは無理せず聞いてみましょう。 
・通行人より店員さんに聞くと安心です。",質問、サポート、安心,困ったとき